T(K),nu
298.0,0.3160746029748423
298.75757575757575,0.31671165699596293
299.5151515151515,0.31734838614232125
300.27272727272725,0.31798479041391736
301.030303030303,0.31862086981075116
301.7878787878788,0.31925662433282276
302.54545454545456,0.31989205398013204
303.3030303030303,0.320527158752679
304.06060606060606,0.3211619386504638
304.8181818181818,0.3217963936734862
305.57575757575756,0.3224305238217464
306.3333333333333,0.32306432909524435
307.09090909090907,0.32369780949398
307.8484848484849,0.32433096501795344
308.6060606060606,0.32496379566716455
309.3636363636364,0.3255963014416134
310.1212121212121,0.3262284823413
310.8787878787879,0.3268603383662243
311.6363636363636,0.32749186951638637
312.3939393939394,0.3281230757917861
313.1515151515151,0.3287539571924236
313.90909090909093,0.32938451371829885
314.6666666666667,0.3300147453694119
315.42424242424244,0.33064465214576255
316.1818181818182,0.33127423404735096
316.93939393939394,0.3319034910741771
317.6969696969697,0.33253242322624105
318.45454545454544,0.3331610305035426
319.2121212121212,0.333789312906082
319.969696969697,0.33441727043385905
320.72727272727275,0.33504490308687385
321.4848484848485,0.33567221086512644
322.24242424242425,0.3362991937686167
323.0,0.3369258517973447
323.75757575757575,0.3375521849513104
324.5151515151515,0.33817819323051385
325.27272727272725,0.3388038766349551
326.030303030303,0.33942923516463397
326.7878787878788,0.3400542688195507
327.54545454545456,0.34067897759970506
328.3030303030303,0.34130336150509716
329.06060606060606,0.34192742053572706
329.8181818181818,0.3425511546915946
330.57575757575756,0.3431745639726999
331.3333333333333,0.3437976483790429
332.0909090909091,0.3444204079106238
332.8484848484849,0.3450428425674422
333.6060606060606,0.34566495234949846
334.3636363636364,0.3462867372567924
335.1212121212121,0.3469081972893241
335.8787878787879,0.34752933244709355
336.6363636363636,0.34815014273010064
337.3939393939394,0.34877062813834553
338.1515151515151,0.3493907886718281
338.9090909090909,0.35001062433054847
339.6666666666667,0.35063013511450664
340.42424242424244,0.3512493210237024
341.1818181818182,0.3518681820581359
341.93939393939394,0.35248671821780714
342.6969696969697,0.3531049295027162
343.45454545454544,0.3537228159128629
344.2121212121212,0.35434037744824737
344.969696969697,0.35495761410886956
345.72727272727275,0.3555745258947295
346.4848484848485,0.35619111280582716
347.24242424242425,0.3568073748421625
348.0,0.3574233120037356
348.75757575757575,0.35803892429054646
349.5151515151515,0.358654211702595
350.27272727272725,0.3592691742398813
351.030303030303,0.35988381190240537
351.7878787878788,0.3604981246901671
352.54545454545456,0.3611121126031666
353.3030303030303,0.36172577564140385
354.06060606060606,0.3623391138048788
354.8181818181818,0.3629521270935915
355.57575757575756,0.3635648155075419
356.3333333333333,0.36417717904673
357.0909090909091,0.36478921771115597
357.8484848484849,0.36540093150081954
358.6060606060606,0.3660123204157209
359.3636363636364,0.3666233844558599
360.1212121212121,0.3672341236212367
360.8787878787879,0.3678445379118513
361.6363636363636,0.3684546273277035
362.3939393939394,0.36906439186879353
363.1515151515151,0.3696738315351212
363.9090909090909,0.3702829463266866
364.6666666666667,0.3708917362434899
365.42424242424244,0.3715002012855308
366.1818181818182,0.3721083414528094
366.93939393939394,0.37271615674532577
367.6969696969697,0.3733236471630799
368.45454545454544,0.37393081270607176
369.21212121212125,0.37453765337430134
369.969696969697,0.3751441691677686
370.72727272727275,0.3757503600864736
371.4848484848485,0.3763562261304164
372.24242424242425,0.3769617672995969
373.0,0.3775669835940151
