S.N.,T,H
1,300.0,512.617063123329
2,310.0,790.6330671208186
3,320.0,1071.4465683649312
4,330.0,1355.3221320498624
5,340.0,1642.6193004873535
6,350.0,1933.8740462645676
7,360.0,2229.9792647589147
8,370.0,2532.672598791109
9,380.0,2973.5222320309067
11,400.0,3598.0662664891743
12,410.0,3923.6627361065803
13,420.0,4263.5873044214495
14,430.0,4627.395537082932
15,440.0,5038.076564060742
16,450.0,5554.053728878916
17,460.0,6259.73895430091
18,470.0,7204.3899774425445
19,480.0,8595.438812438082
20,490.0,11325.161251629474
21,500.0,13127.729346101409
22,510.0,13423.130635135629
23,520.0,13717.3747794927
24,530.0,14010.349352255937
25,540.0,14302.188129771084
26,550.0,14593.01298207317
27,560.0,14882.93493638308
28,570.0,15172.055128680742
29,580.0,15460.46565686565
30,590.0,15748.250347179326
31,600.0,16035.48544401214
32,610.0,16322.240231885851
33,620.0,16608.577597271425
34,630.0,16894.55453692737
35,640.0,17180.222618608463
36,650.0,17465.628399276877
37,660.0,17750.813805320882
38,670.0,18035.81647875475
39,680.0,18320.670092900215
40,690.0,18605.404640647845
41,700.0,18890.046698040038
42,710.0,19174.61966561123
43,720.0,19459.143989647193
44,730.0,19743.63736529045
45,740.0,20028.114923210822
46,750.0,20312.589401373956
47,760.0,20597.071303283734
48,770.0,20881.56904392667
49,780.0,21166.089084525054
50,790.0,21450.636057089858
